Epoch,Group_ID,Selected_Clients,Accuracy,Loss,Run_Time,Simulation_Time
15,0,"[29, 52, 1, 42, 98, 83, 69, 58, 10, 72]",22.025240384615383,2.258203320014171,121.94394516944885,75.1981529204335
16,3,"[96, 74, 3, 20, 87, 45, 38, 81, 47, 8]",18.359375,2.2780052668009048,129.49829173088074,51.1906544323306
17,4,"[2, 76, 7, 88, 75, 70, 35, 73, 12, 62]",20.22235576923077,2.484011906843919,137.47457003593445,59.88257676904768
18,0,"[69, 33, 1, 11, 58, 10, 50, 68, 6, 34]",23.577724358974358,2.168325757369017,145.12218832969666,87.84293401845707
19,1,"[26, 5, 4, 15, 40, 71, 49, 14, 37, 99]",27.584134615384617,2.1569200998697524,153.09546661376953,92.02714944945723
20,2,"[82, 19, 0, 95, 16, 97, 46, 85, 63, 22]",24.048477564102566,2.11220215069942,161.4553244113922,69.68583564425498
21,3,"[81, 87, 3, 8, 27, 93, 48, 91, 17, 28]",21.995192307692307,2.3577996217287502,169.2411024570465,66.61504490510669
22,0,"[69, 42, 1, 98, 52, 77, 33, 34, 32, 11]",25.470753205128204,2.148028966708061,177.59072732925415,108.50557859370662
23,1,"[56, 99, 4, 14, 21, 49, 79, 37, 90, 5]",18.509615384615383,2.562706870910449,185.7683548927307,113.05624181797643
24,2,"[24, 46, 0, 84, 78, 63, 16, 97, 22, 60]",21.25400641025641,2.497548754398639,194.55312252044678,86.41763930387363
25,0,"[11, 10, 1, 52, 69, 32, 34, 77, 55, 58]",22.44591346153846,2.4348257321577806,203.01991891860962,123.54778080083697
26,3,"[30, 28, 3, 48, 38, 9, 96, 20, 74, 27]",24.208733974358974,2.1508434949777064,211.6284523010254,82.81617971998092
27,1,"[66, 40, 4, 37, 26, 79, 44, 13, 49, 14]",22.145432692307693,2.2438747516045203,219.831374168396,136.06302918034072
28,2,"[63, 84, 0, 23, 78, 36, 61, 22, 46, 18]",25.02003205128205,2.070508469373752,227.69497776031494,105.77976375684108
29,0,"[83, 42, 1, 72, 68, 69, 55, 29, 6, 33]",24.409054487179485,2.2521438797314963,236.31260180473328,142.37844236364106
30,3,"[9, 20, 3, 74, 38, 87, 28, 47, 93, 54]",19.571314102564102,2.475667485823998,244.2458918094635,99.87973119742446
31,1,"[40, 13, 4, 37, 49, 21, 5, 99, 56, 15]",25.55088141025641,2.4374654659858117,252.40113282203674,159.06981654270504
32,2,"[18, 82, 0, 19, 89, 59, 46, 23, 78, 61]",21.64463141025641,2.0461792961145058,260.32315707206726,125.14188820980853
33,0,"[98, 42, 1, 29, 34, 72, 58, 52, 50, 10]",25.200320512820515,2.065047499461052,268.0604865550995,163.0410869388906
34,3,"[27, 81, 3, 30, 74, 28, 91, 38, 54, 96]",20.86338141025641,2.448587188353905,275.6847553253174,116.0808660122987
35,4,"[86, 51, 2, 62, 7, 92, 67, 70, 75, 76]",20.86338141025641,2.448587188353905,283.8062164783478,75.33205760196965
36,1,"[13, 5, 4, 21, 37, 57, 66, 56, 40, 71]",26.762820512820515,2.1502443842398815,291.92371702194214,182.07660390506936
37,0,"[69, 32, 1, 11, 29, 50, 6, 98, 55, 58]",31.129807692307693,1.9759344489146502,300.45303320884705,183.70373151414015
38,2,"[64, 41, 0, 78, 85, 59, 23, 95, 84, 24]",29.96794871794872,1.9254482785860698,308.4251651763916,141.87369186942718
39,3,"[81, 20, 3, 87, 54, 91, 48, 17, 47, 30]",28.345352564102566,1.991786846747765,316.65703415870667,133.14441748974224
40,1,"[14, 5, 4, 21, 90, 99, 31, 15, 40, 44]",27.884615384615383,2.2347331169324045,324.913743019104,205.08339126743368
41,0,"[69, 52, 1, 77, 32, 55, 83, 98, 72, 42]",31.720753205128204,2.0030338718340945,333.47303080558777,204.3663760893897
42,2,"[97, 82, 0, 84, 36, 19, 41, 23, 64, 60]",26.65264423076923,2.2613745347047463,341.5044515132904,158.66964563526162
43,3,"[17, 48, 3, 74, 38, 81, 9, 47, 91, 54]",28.846153846153847,2.0268201384788904,349.7785050868988,150.20796896718576
44,1,"[40, 26, 4, 66, 15, 79, 49, 44, 5, 56]",31.881009615384617,2.0136364988791637,358.038690328598,228.090178629798
45,0,"[32, 77, 1, 58, 83, 42, 98, 69, 10, 50]",32.20152243589744,1.9541588440919533,366.667596578598,225.02902066463923
46,2,"[95, 41, 0, 61, 97, 59, 63, 84, 36, 24]",30.899439102564102,2.0932451761685886,375.0455787181854,178.03177008822905
47,3,"[9, 96, 3, 74, 91, 48, 20, 45, 30, 17]",24.118589743589745,2.2022225780364795,383.4920828342438,166.40910378206001
48,1,"[44, 13, 4, 57, 26, 14, 37, 66, 21, 56]",26.141826923076923,2.2532893801346803,391.62246084213257,249.1192709983172
49,0,"[29, 98, 1, 6, 34, 50, 77, 55, 69, 10]",30.709134615384617,2.0116413098115187,400.3027355670929,245.69166523988878
50,2,"[19, 39, 0, 24, 22, 60, 36, 63, 84, 95]",27.193509615384617,2.06702634310111,408.21635913848877,194.8277238540635
51,3,"[47, 9, 3, 87, 38, 28, 91, 27, 65, 20]",31.01963141025641,1.9610714667882674,416.42803049087524,183.47265525950354
52,1,"[66, 40, 4, 21, 79, 49, 99, 37, 26, 56]",29.647435897435898,2.2372653224529366,425.16902685165405,272.1260583606815
53,0,"[83, 58, 1, 6, 29, 55, 69, 50, 10, 34]",26.47235576923077,2.2733563031905737,433.59066939353943,261.85447219163314
54,2,"[36, 61, 0, 82, 16, 41, 18, 63, 97, 95]",30.16826923076923,2.218452710371751,441.7431712150574,214.18984830703096
55,3,"[87, 45, 3, 17, 65, 93, 9, 20, 74, 48]",25.390625,2.210872761714153,450.6275556087494,199.53592639794115
56,1,"[31, 26, 4, 56, 15, 99, 57, 90, 66, 71]",31.370192307692307,2.299475203721951,459.1095824241638,293.1551507292007
57,0,"[6, 68, 1, 29, 42, 69, 10, 98, 72, 32]",34.46514423076923,1.8575948858872438,467.6478691101074,282.5171167668827
58,2,"[61, 85, 0, 41, 78, 59, 82, 39, 36, 97]",32.47195512820513,2.01875501871109,475.97689723968506,233.55197275999842
59,3,"[74, 54, 3, 96, 45, 8, 48, 47, 87, 17]",32.83253205128205,1.8600015411010156,484.43407821655273,216.59947787538468
60,1,"[99, 15, 4, 44, 5, 26, 49, 40, 71, 66]",36.999198717948715,1.8988744356693366,492.73455929756165,316.16193809156505
61,0,"[58, 98, 1, 29, 42, 6, 68, 69, 77, 72]",34.70552884615385,1.8134206059651496,501.55535674095154,303.1797613421322
62,2,"[16, 89, 0, 22, 85, 63, 18, 23, 24, 39]",28.10496794871795,2.13564288463348,510.00861263275146,249.2118993033846
63,3,"[9, 20, 3, 48, 74, 87, 47, 54, 91, 96]",28.44551282051282,2.055365171187963,518.3924911022186,233.6630293528282
64,1,"[26, 15, 4, 13, 99, 90, 71, 44, 66, 21]",35.68709935897436,1.9904182446308625,526.379412651062,336.9748520445975
65,0,"[68, 72, 1, 50, 11, 58, 6, 29, 98, 32]",35.06610576923077,1.8310097272579486,534.6761331558228,323.84240591738177
66,2,"[59, 22, 0, 85, 18, 41, 23, 84, 95, 61]",36.65865384615385,1.7923126801466331,542.6086530685425,268.57402375635206
67,3,"[9, 48, 3, 28, 54, 81, 8, 93, 91, 87]",27.584134615384617,2.154188104164906,550.8254399299622,249.0874198256043
68,1,"[14, 4, 5, 26, 66, 37, 71, 44, 79, 99]",37.08934294871795,2.004114718009264,559.195910692215,357.78776599763
69,0,"[98, 29, 1, 77, 52, 83, 68, 33, 6, 10]",33.35336538461539,1.8237920602162678,567.4508721828461,344.5050504926313
70,2,"[61, 63, 0, 24, 39, 22, 82, 59, 84, 95]",35.03605769230769,1.8293528465124278,575.5464992523193,287.9361482093195
71,3,"[27, 3, 8, 48, 20, 45, 91, 93, 28, 17]",35.32652243589744,1.9065152498391957,583.6899657249451,264.5118102983804
72,1,"[90, 99, 4, 44, 31, 57, 71, 26, 37, 15]",36.74879807692308,1.9380226150537148,592.2926416397095,378.6006799506625
73,0,"[77, 50, 1, 68, 32, 29, 33, 69, 83, 55]",34.64543269230769,1.9374504257471135,600.635550737381,360.66785744437567
74,2,"[84, 60, 0, 59, 23, 89, 24, 39, 64, 36]",39.372996794871796,1.681649720057463,608.783588886261,301.6771815303604
75,3,"[28, 38, 3, 81, 9, 47, 87, 65, 8, 93]",35.72716346153846,1.8624256742306244,617.5145933628082,281.5753617758239
76,1,"[37, 79, 4, 15, 31, 49, 57, 5, 99, 14]",37.09935897435897,1.8846718470255535,625.6053717136383,396.99200509382456
77,0,"[1, 33, 6, 50, 68, 77, 29, 69, 58, 52]",37.62019230769231,1.8674155106911292,633.6651260852814,376.83066439612
78,2,"[61, 82, 0, 78, 89, 23, 46, 24, 19, 18]",35.01602564102564,1.7458605537047753,642.1432790756226,321.03930598332784
79,3,"[81, 45, 3, 91, 65, 8, 9, 96, 27, 28]",30.979567307692307,1.911007781823476,650.8243288993835,297.7764965906982
80,1,"[15, 5, 4, 71, 90, 99, 21, 79, 57, 66]",36.74879807692308,1.8650426054612184,658.7633633613586,415.38333023698664
81,0,"[33, 69, 1, 6, 98, 50, 34, 55, 58, 52]",38.29126602564103,1.7089473360624068,666.966109752655,397.4933089713696
82,2,"[89, 18, 0, 16, 23, 36, 46, 97, 24, 59]",34.43509615384615,1.7838476040424445,675.3614897727966,336.699232526714
83,3,"[48, 28, 3, 17, 20, 87, 91, 30, 27, 54]",34.93589743589744,1.770904710659614,683.9567680358887,313.2008870634743
84,1,"[99, 31, 4, 44, 26, 57, 37, 13, 66, 40]",38.752003205128204,1.8933023122640757,692.4255306720734,438.39011759935096
85,0,"[69, 68, 1, 6, 83, 11, 98, 50, 10, 34]",40.11418269230769,1.6745708661201673,700.5068645477295,418.1559535466191
86,2,"[0, 82, 16, 41, 46, 64, 59, 39, 18, 23]",30.46875,1.8781990607579548,708.7328081130981,352.3591590701002
87,3,"[47, 38, 3, 9, 54, 48, 65, 30, 87, 45]",36.78886217948718,1.7687392418201153,717.2300899028778,330.2644385409178
88,1,"[40, 13, 4, 31, 5, 99, 37, 15, 44, 21]",37.01923076923077,1.9364770605013921,725.4913575649261,461.3969049617153
89,0,"[72, 68, 1, 50, 11, 42, 10, 33, 83, 69]",37.52003205128205,1.827253861305041,733.7783284187317,436.9866151094232
90,2,"[23, 16, 0, 24, 60, 85, 64, 89, 84, 18]",36.68870192307692,1.7536536409304693,742.0157632827759,368.01908561348637
91,3,"[65, 74, 3, 38, 27, 8, 91, 47, 20, 54]",39.4130608974359,1.6814898680417965,750.2713186740875,347.32799001836133
92,1,"[4, 14, 5, 71, 90, 99, 79, 57, 37, 56]",33.71394230769231,2.1165691568301273,758.4440393447876,482.4259973302345
93,0,"[68, 52, 1, 69, 72, 6, 32, 29, 11, 55]",38.49158653846154,1.8306808379980235,766.968026638031,455.7206118949574
94,2,"[39, 19, 0, 63, 18, 61, 95, 59, 16, 89]",34.77564102564103,1.8431559755251958,775.0221996307373,387.38121006645383
95,3,"[54, 9, 3, 17, 20, 65, 91, 38, 8, 96]",38.48157051282051,1.7007927313829079,783.172066450119,363.5291248332356
96,1,"[37, 56, 4, 57, 40, 49, 5, 71, 79, 26]",38.53165064102564,1.7957785664460597,791.7390124797821,505.43278469259883
97,0,"[77, 34, 1, 83, 6, 98, 10, 50, 69, 29]",35.71714743589744,1.733633958376371,800.202486038208,476.38325647020696
98,2,"[0, 19, 16, 78, 36, 24, 18, 60, 85, 23]",39.89383012820513,1.6897304990352728,808.2679657936096,404.1771638322883
99,3,"[38, 48, 3, 28, 45, 87, 96, 27, 93, 74]",32.712339743589745,2.0349522660940123,816.623204946518,379.73025964810984
100,1,"[79, 66, 4, 31, 90, 14, 99, 26, 57, 49]",40.55488782051282,1.7377502612578564,824.9470639228821,526.2456986456314
101,0,"[1, 11, 6, 34, 33, 98, 68, 10, 32, 77]",39.943910256410255,1.678872021344992,833.3403074741364,497.0459010454565
102,2,"[60, 63, 0, 78, 46, 36, 23, 41, 82, 16]",32.161458333333336,1.8728743027418087,841.590980052948,420.90896749190694
103,3,"[81, 47, 3, 30, 74, 9, 17, 96, 65, 27]",32.892628205128204,1.8945557444523542,849.970285654068,396.79381112555336
104,1,"[21, 40, 4, 71, 56, 79, 90, 15, 26, 31]",32.20152243589744,2.054872922408275,858.2098271846771,549.2524860079957
105,0,"[33, 1, 6, 55, 69, 42, 98, 58, 50, 11]",40.55488782051282,1.6687765472974532,866.8902242183685,517.708545620706
106,2,"[59, 23, 0, 19, 95, 89, 36, 16, 41, 64]",40.334535256410255,1.6580838820873163,875.1509323120117,437.7049212577414
107,3,"[54, 38, 3, 81, 28, 9, 91, 65, 74, 87]",37.72035256410256,1.800394233984825,883.3243906497955,412.85708226399095
108,1,"[56, 57, 4, 79, 37, 21, 13, 5, 71, 66]",40.154246794871796,1.7676668105981288,891.8921318054199,570.2815783765149
109,0,"[58, 10, 1, 29, 42, 83, 11, 55, 98, 33]",39.4130608974359,1.6879783685390766,900.5790655612946,538.3711901959555
110,2,"[22, 36, 0, 41, 78, 24, 18, 61, 64, 60]",40.124198717948715,1.7094008005582368,909.0726749897003,457.06704571070884
111,3,"[81, 30, 3, 65, 93, 47, 54, 9, 28, 27]",35.30649038461539,1.7585803698270748,917.256918668747,429.9206337414345
112,1,"[5, 71, 4, 79, 66, 49, 26, 15, 14, 13]",42.12740384615385,1.6486628162555206,925.5160593986511,591.0944923295474
113,0,"[42, 11, 1, 68, 98, 77, 50, 83, 52, 69]",42.38782051282051,1.587299033617362,933.9376101493835,559.033834771205
114,2,"[22, 63, 0, 19, 85, 18, 46, 64, 97, 84]",42.678285256410255,1.5569280340121343,941.9456169605255,473.8629994765433
115,3,"[3, 30, 8, 45, 27, 96, 47, 38, 91, 81]",33.78405448717949,1.8900751670201619,950.0764181613922,446.984185218878
116,1,"[44, 49, 4, 21, 37, 14, 5, 13, 31, 56]",37.810496794871796,1.7317280280284393,958.5923643112183,612.1235846980666
117,0,"[50, 83, 1, 11, 33, 34, 98, 32, 55, 77]",38.88221153846154,1.6935197848540087,967.1456229686737,579.6964793464545
118,2,"[36, 24, 0, 82, 19, 23, 60, 22, 41, 64]",34.375,1.861928878686367,975.3066771030426,490.6589532423777
119,3,"[54, 91, 3, 28, 65, 48, 47, 8, 93, 9]",38.29126602564103,1.7471449237603407,983.5310974121094,464.0477366963215
120,1,"[37, 13, 4, 49, 40, 56, 15, 90, 14, 99]",30.048076923076923,2.327620049317678,991.8901863098145,635.1303720604309
121,0,"[68, 34, 1, 55, 72, 58, 77, 50, 6, 42]",41.63661858974359,1.7282916903495789,1000.0363047122955,598.5271409092585
122,2,"[82, 85, 0, 61, 59, 78, 84, 22, 24, 95]",42.95873397435897,1.7357418032792897,1008.3028390407562,510.0210776953452
123,3,"[20, 45, 3, 87, 17, 38, 74, 65, 48, 96]",39.27283653846154,1.7537819575040767,1016.4507513046265,480.2488715111958
124,1,"[79, 13, 4, 44, 26, 56, 57, 90, 5, 71]",44.76161858974359,1.6210497526022105,1024.699728012085,656.1594644289501
125,0,"[77, 1, 6, 34, 83, 32, 42, 11, 72, 29]",35.52684294871795,2.0280295396462464,1033.3880825042725,617.3578024720625
126,2,"[97, 78, 0, 59, 60, 89, 39, 19, 95, 16]",39.21274038461539,1.7573843751198206,1041.411773443222,526.8170314611796
127,3,"[93, 3, 8, 27, 81, 87, 54, 45, 28, 74]",33.42347756410256,1.951671560605367,1049.598709821701,495.6732619839719
128,1,"[49, 57, 4, 26, 5, 14, 56, 13, 44, 31]",42.74839743589744,1.7801382801471612,1057.989429473877,677.1885567974692
129,0,"[52, 83, 1, 29, 72, 69, 55, 77, 11, 42]",33.77403846153846,2.0259156349377756,1066.1584191322327,636.1884640348666
130,2,"[89, 0, 16, 41, 84, 60, 95, 61, 24, 85]",39.27283653846154,1.761356654839638,1074.3722870349884,546.179155914147
131,3,"[93, 45, 3, 30, 81, 74, 8, 96, 28, 38]",36.91907051282051,1.804104351080381,1082.6103191375732,511.87439679884613
132,1,"[44, 13, 4, 26, 21, 66, 56, 14, 15, 49]",36.26802884615385,1.912690439285376,1090.9714012145996,698.2176491659884
133,0,"[50, 52, 1, 77, 98, 32, 34, 83, 72, 33]",37.56009615384615,1.7684038357856946,1099.5330452919006,656.8511086101161
134,2,"[63, 59, 0, 23, 95, 60, 39, 16, 85, 19]",43.54967948717949,1.6184745415663109,1107.6453738212585,562.9751096799814
135,3,"[47, 65, 3, 91, 45, 38, 87, 74, 30, 17]",39.923878205128204,1.7248329397959588,1116.0023550987244,528.9379482762897
136,1,"[40, 71, 4, 26, 13, 21, 49, 14, 90, 99]",39.453125,1.8129938061420734,1124.2721481323242,721.2244365283527
137,0,"[29, 55, 1, 58, 11, 83, 69, 32, 33, 52]",36.86899038461539,1.8682711537067707,1132.6041955947876,673.0139155618604
138,2,"[89, 85, 0, 46, 39, 97, 36, 24, 61, 19]",43.89022435897436,1.545802069015992,1140.7383213043213,582.3372341329489
139,3,"[47, 48, 3, 9, 93, 20, 81, 87, 54, 74]",33.06290064102564,2.0237984504455175,1148.8153948783875,546.0014997537332
140,1,"[90, 15, 4, 31, 37, 99, 56, 14, 13, 44]",37.28966346153846,2.039817466185643,1157.1070575714111,742.2535288968719
141,0,"[32, 42, 1, 52, 34, 10, 77, 83, 50, 33]",39.23277243589744,1.9335712072176812,1165.6872889995575,691.8445771246644
142,2,"[41, 46, 0, 60, 36, 95, 84, 97, 23, 19]",43.76001602564103,1.5459585128686366,1173.8809626102448,599.1331878987833
143,3,"[54, 28, 3, 20, 91, 48, 8, 81, 87, 74]",37.8505608974359,1.714860236033415,1181.913936138153,561.4258902265093
144,1,"[90, 49, 4, 5, 40, 44, 37, 15, 56, 13]",35.31650641025641,1.890637755393982,1190.2804939746857,765.2603162592362
145,0,"[10, 98, 1, 42, 72, 32, 58, 29, 11, 34]",42.48798076923077,1.688076341763521,1198.58372092247,712.5072216999139
146,2,"[61, 46, 0, 89, 60, 64, 22, 19, 78, 41]",44.51121794871795,1.5251429600593371,1207.087430715561,618.4953123517507
147,3,"[48, 30, 3, 81, 93, 8, 9, 45, 91, 17]",41.25600961538461,1.614461626761999,1215.5792496204376,576.8502806992853
148,1,"[15, 31, 4, 5, 66, 14, 79, 37, 44, 49]",43.69991987179487,1.6143277914096148,1223.6438293457031,783.6516414023984
149,0,"[68, 1, 6, 42, 77, 52, 50, 29, 34, 83]",39.60336538461539,1.7739284497040968,1232.1083316802979,731.3378832627179
150,2,"[64, 16, 0, 97, 95, 89, 59, 24, 39, 84]",39.65344551282051,1.8483454004312172,1240.3243567943573,632.2363456727916
151,3,"[17, 45, 3, 96, 74, 38, 9, 65, 54, 20]",41.145833333333336,1.6978173332336621,1248.5823295116425,593.0514155141595
152,1,"[90, 21, 4, 13, 44, 14, 31, 40, 56, 71]",32.0713141025641,2.0684761970471115,1257.223602771759,806.6584287647627
153,0,"[1, 58, 6, 68, 11, 10, 72, 42, 50, 77]",45.232371794871796,1.6638506712057652,1265.3452978134155,750.168544825522
154,2,"[16, 39, 0, 78, 19, 61, 46, 22, 24, 95]",36.428285256410255,1.8598589438658495,1273.6399054527283,651.598470125759
155,3,"[45, 81, 3, 8, 54, 48, 65, 74, 20, 91]",43.259214743589745,1.5975172794782198,1281.695156097412,609.1146866525971
156,1,"[14, 49, 4, 44, 5, 90, 15, 56, 99, 71]",36.428285256410255,2.005840750840994,1289.9739797115326,827.6875211332818
157,0,"[33, 52, 1, 10, 6, 68, 42, 34, 98, 77]",44.86177884615385,1.5479041658915007,1298.2115671634674,770.8311894007714
158,2,"[46, 23, 0, 60, 85, 24, 78, 16, 19, 41]",44.41105769230769,1.5158983728824518,1306.302158355713,668.3944238915935
159,3,"[87, 28, 3, 17, 38, 54, 27, 81, 93, 47]",43.37940705128205,1.601011112714425,1314.73188829422,626.1782381300407
160,1,"[66, 15, 4, 49, 71, 14, 40, 99, 90, 57]",41.19591346153846,1.7249196691390796,1323.0304539203644,850.6943084956462
161,0,"[42, 32, 1, 72, 34, 11, 83, 69, 33, 10]",39.69350961538461,1.796409046038603,1331.7288160324097,789.6618509635755
162,2,"[23, 61, 0, 78, 85, 18, 19, 59, 95, 64]",47.38581730769231,1.4762523159002647,1340.0580606460571,687.756548344561
163,3,"[87, 17, 3, 74, 91, 81, 93, 96, 9, 38]",40.89543269230769,1.694779470945016,1348.8037922382355,642.3793729449148
164,1,"[4, 40, 5, 15, 44, 21, 90, 57, 66, 13]",44.8818108974359,1.566638605716901,1357.1430535316467,873.7010958580105
165,0,"[11, 68, 1, 72, 10, 6, 29, 83, 52, 34]",32.44190705128205,1.9946131996619396,1365.4901587963104,808.3958477491097
166,2,"[23, 64, 0, 60, 78, 85, 39, 22, 16, 97]",41.20592948717949,1.7096694906552632,1373.6825165748596,704.4883520041797
167,3,"[93, 38, 3, 87, 17, 65, 74, 91, 54, 47]",43.73998397435897,1.6480568250020344,1382.3240132331848,659.4429244223584
168,1,"[5, 79, 4, 15, 66, 21, 56, 57, 49, 71]",44.32091346153846,1.5843574847930517,1390.3806848526,894.7301882265297
169,0,"[10, 55, 1, 33, 98, 69, 29, 72, 83, 34]",39.28285256410256,1.6592942705521216,1398.8054428100586,829.0584923243592
170,2,"[16, 60, 0, 59, 39, 84, 41, 89, 82, 97]",44.240785256410255,1.5820428041311412,1406.9516654014587,720.0663957065109
171,3,"[38, 45, 3, 20, 81, 48, 28, 96, 47, 27]",43.91025641025641,1.601983674061604,1414.6664395332336,676.5064758998019
172,1,"[57, 90, 4, 13, 44, 37, 14, 66, 31, 56]",40.24439102564103,1.7096059307073936,1422.5376195907593,915.7592805950488
173,0,"[11, 69, 1, 83, 58, 29, 68, 50, 33, 6]",44.220753205128204,1.5890034834543865,1430.429969072342,845.2212992761035
174,2,"[18, 60, 0, 95, 46, 16, 22, 89, 19, 36]",45.45272435897436,1.5152325553771777,1438.8428266048431,736.8623494723454
175,3,"[38, 17, 3, 54, 45, 28, 81, 27, 9, 47]",45.24238782051282,1.5955006052286198,1447.2550723552704,693.5700273772454
176,1,"[90, 40, 4, 5, 57, 13, 56, 26, 71, 66]",42.73838141025641,1.7315223247576983,1455.9243228435516,938.7660679574132
177,0,"[32, 42, 1, 83, 72, 50, 69, 55, 52, 29]",43.649839743589745,1.7140374336487207,1464.2974240779877,864.0519608389076
178,2,"[24, 60, 0, 39, 22, 85, 82, 36, 59, 19]",45.97355769230769,1.5564283682749822,1472.301351070404,753.6583032381798
179,3,"[45, 96, 3, 8, 48, 91, 65, 20, 54, 38]",41.39623397435897,1.6598655902422392,1480.8359308242798,709.7711621921196
180,1,"[26, 66, 4, 37, 31, 49, 71, 15, 99, 13]",45.56290064102564,1.5466836981284313,1489.7583975791931,959.5789819104457
181,0,"[55, 77, 1, 29, 11, 83, 34, 52, 33, 72]",28.03485576923077,2.1542363503040414,1497.8989911079407,882.7859576244418
182,2,"[24, 82, 0, 59, 84, 78, 89, 22, 97, 85]",39.91386217948718,1.7499131927123437,1506.1807038784027,770.3901068977984
183,3,"[17, 20, 3, 30, 47, 45, 48, 87, 38, 9]",44.50120192307692,1.6664353899466686,1514.396461725235,726.8347136695631
184,1,"[5, 37, 4, 99, 90, 40, 31, 21, 44, 15]",42.82852564102564,1.7247028763477619,1522.4026391506195,982.58576927281
185,0,"[6, 77, 1, 83, 42, 68, 34, 69, 10, 11]",45.25240384615385,1.5901808937390645,1530.5948190689087,901.6166191872459
186,2,"[19, 59, 0, 36, 82, 18, 16, 23, 24, 84]",42.66826923076923,1.6610429072991395,1538.7828617095947,787.1860606636328
187,3,"[81, 9, 3, 17, 87, 28, 65, 45, 38, 54]",43.439503205128204,1.7034094272515712,1547.1212928295135,742.8979848080007
188,1,"[90, 57, 4, 37, 26, 5, 40, 99, 49, 31]",48.11698717948718,1.5080868097452016,1555.4815514087677,1005.5925566351743
189,0,"[42, 69, 1, 11, 77, 52, 98, 32, 83, 6]",46.764823717948715,1.4973466518597724,1563.8831672668457,922.2792637624954
190,2,"[46, 82, 0, 60, 84, 64, 59, 97, 23, 78]",49.76963141025641,1.416923735386286,1571.6759333610535,803.9178643232515
191,3,"[54, 17, 3, 47, 9, 96, 91, 27, 30, 20]",42.107371794871796,1.619779585263668,1579.9820411205292,759.9615362854443
192,1,"[71, 79, 4, 49, 66, 14, 56, 99, 21, 5]",39.62339743589744,1.8244074139839563,1588.4511516094208,1026.6216490036936
193,0,"[6, 10, 1, 98, 55, 58, 68, 33, 72, 50]",48.24719551282051,1.444730037297958,1596.5857079029083,942.9419083377448
194,2,"[22, 85, 0, 82, 60, 61, 39, 63, 23, 84]",43.3193108974359,1.5555999752802727,1604.6249198913574,823.2799887762189
195,3,"[30, 47, 3, 74, 54, 87, 27, 20, 81, 8]",52.87459935897436,1.3081313111843207,1612.7582759857178,777.0250877628878
196,1,"[66, 71, 4, 57, 31, 44, 14, 99, 26, 40]",45.12219551282051,1.703434808131976,1621.006629228592,1049.628436366058
197,0,"[50, 32, 1, 29, 83, 68, 33, 98, 77, 55]",46.29407051282051,1.513885715068915,1629.0676724910736,963.6045529129943
198,2,"[23, 82, 0, 97, 41, 18, 39, 85, 60, 61]",43.50961538461539,1.6203443637261024,1636.9407353401184,842.6421132291864
199,3,"[38, 45, 3, 65, 74, 87, 27, 8, 9, 81]",47.66626602564103,1.4626919688322606,1645.3399245738983,793.0883589013254
200,1,"[37, 56, 4, 40, 71, 15, 21, 14, 13, 90]",22.95673076923077,2.7178919254205165,1653.238404750824,1072.6352237284223
201,0,"[42, 98, 1, 52, 77, 58, 55, 10, 34, 11]",43.02884615384615,1.6223028409175384,1661.4572355747223,984.2671974882438
202,2,"[36, 97, 0, 22, 19, 59, 78, 82, 60, 61]",47.14543269230769,1.5297303872230725,1669.7244760990143,862.0042376821539
