epoch,selected_clients,accuracy,loss,run_time,sim_round_time,epoch_cum_time
1,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",10.33,2.257805540561676,5.552973508834839,2.81,2.81
2,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",30.47,2.0490771412849424,7.680964231491089,3.82,6.63
3,"[15, 16, 24, 27, 36, 43, 53, 82]",52.03,1.7313841438293458,9.325641870498655,4.94,11.57
4,"[23, 33, 46, 51, 74, 81, 86, 93]",48.74,1.352041733264923,11.227262020111084,6.1,17.67
5,"[21, 31, 55, 63, 68, 75, 87, 95]",55.26,1.1317573618888854,12.79501175880432,7.3,24.970000000000002
6,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",58.77,1.0560486990213394,14.767792224884031,7.72,32.690000000000005
7,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",67.0,0.9507904982566834,16.813759088516235,8.6,41.290000000000006
8,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",65.5,0.8986711567640304,18.76003646850586,9.3,50.59
9,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",67.15,0.8685180473327637,20.668981552124023,10.93,61.52
10,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",69.73,0.8410143899917603,22.60465407371521,12.1,73.62
11,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",71.48,0.7943895190954209,24.79472541809082,2.81,76.43
12,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",71.72,0.7852402144670486,26.94363045692444,3.82,80.25
13,"[15, 16, 24, 27, 36, 43, 53, 82]",65.95,0.8729399335384369,28.173871755599976,4.94,85.19
14,"[23, 33, 46, 51, 74, 81, 86, 93]",71.53,0.7987784194946289,29.63134241104126,6.1,91.28999999999999
15,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",68.42,0.8182341831922532,31.478763103485107,7.72,99.00999999999999
16,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",73.66,0.7275458592176437,33.63279724121094,2.81,101.82
17,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",72.18,0.7577266836166382,35.830283641815186,3.82,105.63999999999999
18,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",73.68,0.7349755427241326,37.51929664611816,8.6,114.23999999999998
19,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",72.53,0.7164947521686554,39.19702172279358,9.3,123.53999999999998
20,"[21, 31, 55, 63, 68, 75, 87, 95]",71.52,0.7254933202266693,40.65421843528748,7.3,130.83999999999997
21,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.1,0.6915094745159149,42.79549980163574,2.81,133.64999999999998
22,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",73.96,0.6977913856506348,44.450916051864624,10.93,144.57999999999998
23,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",74.5,0.6932330283522606,46.348073959350586,3.82,148.39999999999998
24,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",74.55,0.6960884356498718,47.81819534301758,12.1,160.49999999999997
25,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",74.96,0.6730283001065254,49.90678930282593,2.81,163.30999999999997
26,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.03,0.6752269661426544,51.782591819763184,3.82,167.12999999999997
27,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.13,0.6629250997304916,54.01266241073608,2.81,169.93999999999997
28,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.1,0.669319068491459,55.95206356048584,3.82,173.75999999999996
29,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",75.26,0.6581926184892655,58.1340913772583,2.81,176.56999999999996
30,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",71.21,0.734419576227665,59.677260398864746,7.72,184.28999999999996
31,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.74,0.6519640409946441,61.66728353500366,3.82,188.10999999999996
32,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",75.9,0.6482235336303711,63.41134595870972,8.6,196.70999999999995
33,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.38,0.6362236604094506,65.57392930984497,2.81,199.51999999999995
34,"[0, 14, 17, 30, 32, 66, 70, 76, 92, 96]",74.81,0.6469949847459793,67.20911359786987,9.3,208.81999999999996
35,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",75.87,0.6453947457671165,69.06676483154297,3.82,212.63999999999996
36,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.58,0.6220826822519302,71.11536192893982,2.81,215.44999999999996
37,"[23, 33, 46, 51, 74, 81, 86, 93]",75.9,0.6439873224496842,72.59356164932251,6.1,221.54999999999995
38,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",76.17,0.6291660684347152,74.42521595954895,3.82,225.36999999999995
39,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",76.72,0.6126055949926377,76.71673536300659,2.81,228.17999999999995
40,"[3, 19, 40, 47, 49, 52, 72, 73, 79, 80]",76.84,0.6145292374491692,78.2890362739563,10.93,239.10999999999996
41,"[26, 28, 41, 42, 45, 48, 56, 61, 64, 71]",76.76,0.6287626400589943,79.7610776424408,12.1,251.20999999999995
42,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",76.62,0.6184925398230553,81.90427780151367,3.82,255.02999999999994
43,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",77.23,0.5988207945227623,84.14032173156738,2.81,257.8399999999999
44,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",77.31,0.5979865384101868,86.13324856758118,3.82,261.6599999999999
45,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",77.53,0.5914136520028115,88.37854433059692,2.81,264.4699999999999
46,"[15, 16, 24, 27, 36, 43, 53, 82]",74.12,0.650278200507164,89.81391954421997,4.94,269.4099999999999
47,"[10, 11, 29, 35, 57, 58, 65, 67, 77, 78, 98]",77.72,0.5906188532710075,91.59633541107178,8.6,278.00999999999993
48,"[1, 5, 8, 22, 34, 37, 39, 44, 54, 59, 62, 83, 85, 91, 94]",77.46,0.5843362355232239,93.87117791175842,2.81,280.81999999999994
49,"[2, 6, 9, 13, 25, 50, 69, 88, 90, 97, 99]",77.37,0.5965492478013039,95.87926506996156,3.82,284.63999999999993
50,"[4, 7, 12, 18, 20, 38, 60, 84, 89]",74.63,0.6245959714055062,97.5335681438446,7.72,292.35999999999996
